SurfaceName,Type,BoundaryNm,BoundConf,BasisOfInt,OvrConf,OvrStrtUnt,OvrStrtCod,UndStrtUnt,UndStrtCod,WithinType,WithinStrt,WithinStNo,WithinConf,InterpRef,Comment,Operator,Colour,Marker,MarkerSize
Cenozoic-Bandanna,BASE_Cenozoic_TOP_Paleozoic,Top- Bandana interface,M,IAEM,M,Cenozoic Regolith,76541,Bandanna Formation,1032, , , , , , ,Neil Symington,black,circle,10
Cenozoic-Rewan,BASE_Cenozoic_TOP_Mesozoic,Top- Rewan interface,M,IAEM,M,Cenozoic Regolith,76541,Rewan Group,16054, , , , , , ,Neil Symington,black,cross,10
Cenozoic-Clematis,BASE_Cenozoic_TOP_Mesozoic,Top- Clematis interface,M,IAEM,M,Cenozoic Regolith,76541,Clematis Group,4137, , , , , , ,Neil Symington,black,asterisk,10
Cenozoic-RollingDowns,BASE_Cenozoic_TOP_Mesozoic,Top- RollingDowns interface,M,IAEM,M,Cenozoic Regolith,76541,Rolling Downs,16267, , , , , , ,Neil Symington,black,asterisk,10
Dunda-Rewan,INTRA_Mesozoic,Top- Rewan interface,M,IAEM,M,Dunda Beds,5808,Precipice Sandstone,15540,,, , , , ,Neil Symington,grey,x,14
Moolayember-Clematis,INTRA_Mesozoic,Top-Clematis interface,M,IAEM,M,Moolayember Formation,12187,Clematis Group,4137,,,,,,,Neil Symington,grey,pentagon,14
Clematis-Rewan,INTRA_Mesozoic,Top-Rewan interface,M,IAEM,M,Clematis Group,4137,Rewan Group,16054,,,,,,,Neil Symington,grey,triangle-nw,14
Mackunda-Allaru,INTRA_Mesozoic,Top-Allaru interface,M,IAEM,M,Mackunda Formation,10952,Allaru Mudstone,291,,Rolling Downs,16267,H,,,Neil Symington,grey,circle,14
Cenozoic-CadnaOwie,BASE_Cenozoic_TOP_Mesozoic,Top-CadnaOwie interface,M,IAEM,M,Cenozoic Regolith,76541,Cadna-owie Formation,3284,,,,,,,Neil Symington,grey,bowtie,14
CadnaOwie-Hutton,INTRA_Mesozoic,Top-Hutton interface,M,IAEM,M,Cadna-owie Formation,3284,Hutton Sandstone,8610,,,,,,,Neil Symington,grey,circle,14
Hutton-Moolayember,INTRA_Mesozoic,Top-Moolayember interface,M,IAEM,M,Hutton Sandstone,8610,Moolayember Formation,12187,,,,,,,Neil Symington,grey,square-x,14
RewanBandana,BASE_Mesozoic_TOP_Paleozoic,Top- Bandana interface,M,IAEM,M,Rewan Group,16054,Bandanna Formation,1032,,,,,,,Neil Symington,grey,diamond-tall,14
Bandanna-Colinlea,INTRA_Paleozoic,Top- Colinlea interface,M,IAEM,M,Bandanna Formation,1032,Colinlea Sandstone,27129,,,,,,,Neil Symington,grey,cross,14
